"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","105.29","102.01","105.52","100.72","4.52M","3.08%"
"02/27/2025","102.14","109.65","110.01","102.04","10.38M","-5.51%"
"02/26/2025","108.10","108.57","110.27","106.80","2.77M","0.46%"
"02/25/2025","107.61","110.15","110.18","106.00","3.60M","-2.54%"
"02/24/2025","110.41","113.89","114.35","110.29","3.31M","-2.41%"
"02/21/2025","113.14","118.54","118.54","112.98","2.62M","-4.17%"
"02/20/2025","118.06","118.75","118.91","115.99","2.08M","-0.89%"
"02/19/2025","119.12","118.71","119.67","117.80","1.37M","0.05%"
"02/18/2025","119.06","119.26","119.36","117.61","3.27M","0.44%"
"02/14/2025","118.54","117.59","118.86","117.48","3.14M","0.77%"
"02/13/2025","117.64","115.11","117.77","114.75","2.63M","2.85%"
"02/12/2025","114.38","111.77","114.75","111.65","2.11M","0.11%"
"02/11/2025","114.25","113.37","115.08","113.33","1.11M","-0.47%"
"02/10/2025","114.79","113.97","115.28","113.76","1.36M","2.35%"
"02/07/2025","112.15","115.29","116.11","111.81","2.25M","-2.53%"
"02/06/2025","115.06","114.11","115.17","113.43","1.85M","1.01%"
"02/05/2025","113.91","111.75","113.99","111.22","1.82M","0.88%"
"02/04/2025","112.92","110.39","113.16","110.26","1.82M","2.44%"
"02/03/2025","110.23","108.25","111.39","107.18","3.50M","-1.59%"
"01/31/2025","112.01","114.06","115.97","111.57","2.81M","-0.36%"
"01/30/2025","112.41","112.72","113.70","110.35","2.80M","0.83%"
"01/29/2025","111.48","112.19","112.20","109.80","1.92M","-0.40%"
"01/28/2025","111.93","109.14","112.41","107.68","2.57M","3.01%"
"01/27/2025","108.66","107.33","110.36","106.95","6.09M","-5.91%"
"01/24/2025","115.49","116.96","117.30","114.83","2.30M","-1.18%"
"01/23/2025","116.87","115.26","116.88","115.01","2.38M","0.44%"
"01/22/2025","116.36","115.51","117.37","115.42","10.40M","2.61%"
"01/21/2025","113.40","113.37","114.00","111.46","3.32M","1.08%"
